2024-06-26 15:06:303 INFO  HomePage :82 - Salary minimum[[ChromeDriver: chrome on windows (831a2b5cdd2ac1ffdf7f4d9350874e43)] -> xpath: //input[@id='salarymin']]
2024-06-26 15:06:612 INFO  HomePage :89 - salary max [[ChromeDriver: chrome on windows (831a2b5cdd2ac1ffdf7f4d9350874e43)] -> xpath: //input[@id='salarymax']]
2024-06-26 15:06:988 INFO  HomePage :97 - salary type dropdown [[ChromeDriver: chrome on windows (831a2b5cdd2ac1ffdf7f4d9350874e43)] -> xpath: //select[@id='salarytype']]
2024-06-26 15:06:411 INFO  HomePage :104 - select job type dropdown[[ChromeDriver: chrome on windows (831a2b5cdd2ac1ffdf7f4d9350874e43)] -> xpath: //select[@id='tempperm']]
2024-06-26 15:06:791 INFO  HomePage :110 - click on find job [[ChromeDriver: chrome on windows (831a2b5cdd2ac1ffdf7f4d9350874e43)] -> xpath: //input[@id='hp-search-btn']]
2024-06-26 16:06:975 INFO  ManageBrowser :32 - Chrome Browser Launch.....
2024-06-26 16:06:33 INFO  HomePage :57 - Enter job titleTester
2024-06-26 16:06:686 INFO  HomePage :63 - Enter locationHarrow
2024-06-26 16:06:237 INFO  HomePage :69 - Enter location[[ChromeDriver: chrome on windows (87de10c16012b1cc84ccbf0f0cd413af)] -> xpath: //select[@id='distance']]
2024-06-26 16:06:562 INFO  HomePage :74 - click on more option [[ChromeDriver: chrome on windows (87de10c16012b1cc84ccbf0f0cd413af)] -> xpath: //button[@id='toggle-hp-search']]
2024-06-26 16:06:265 INFO  HomePage :82 - Salary minimum[[ChromeDriver: chrome on windows (87de10c16012b1cc84ccbf0f0cd413af)] -> xpath: //input[@id='salarymin']]
2024-06-26 16:06:550 INFO  HomePage :89 - salary max [[ChromeDriver: chrome on windows (87de10c16012b1cc84ccbf0f0cd413af)] -> xpath: //input[@id='salarymax']]
2024-06-26 16:06:976 INFO  HomePage :97 - salary type dropdown [[ChromeDriver: chrome on windows (87de10c16012b1cc84ccbf0f0cd413af)] -> xpath: //select[@id='salarytype']]
2024-06-26 16:06:377 INFO  HomePage :104 - select job type dropdown[[ChromeDriver: chrome on windows (87de10c16012b1cc84ccbf0f0cd413af)] -> xpath: //select[@id='tempperm']]
2024-06-26 16:06:659 INFO  HomePage :110 - click on find job [[ChromeDriver: chrome on windows (87de10c16012b1cc84ccbf0f0cd413af)] -> xpath: //input[@id='hp-search-btn']]
2024-06-26 16:06:650 INFO  ManageBrowser :32 - Chrome Browser Launch.....
2024-06-26 16:06:53 INFO  HomePage :57 - Enter job titleAdmin
2024-06-26 16:06:459 INFO  HomePage :63 - Enter locationHounslow
2024-06-26 16:06:125 INFO  HomePage :69 - Enter location[[ChromeDriver: chrome on windows (d9f65f57a14f87944e4d07b6b667ce21)] -> xpath: //select[@id='distance']]
2024-06-26 16:06:505 INFO  HomePage :74 - click on more option [[ChromeDriver: chrome on windows (d9f65f57a14f87944e4d07b6b667ce21)] -> xpath: //button[@id='toggle-hp-search']]
2024-06-26 16:06:42 INFO  HomePage :82 - Salary minimum[[ChromeDriver: chrome on windows (d9f65f57a14f87944e4d07b6b667ce21)] -> xpath: //input[@id='salarymin']]
2024-06-26 16:06:442 INFO  HomePage :89 - salary max [[ChromeDriver: chrome on windows (d9f65f57a14f87944e4d07b6b667ce21)] -> xpath: //input[@id='salarymax']]
2024-06-26 16:06:96 INFO  HomePage :97 - salary type dropdown [[ChromeDriver: chrome on windows (d9f65f57a14f87944e4d07b6b667ce21)] -> xpath: //select[@id='salarytype']]
2024-06-26 16:06:558 INFO  HomePage :104 - select job type dropdown[[ChromeDriver: chrome on windows (d9f65f57a14f87944e4d07b6b667ce21)] -> xpath: //select[@id='tempperm']]
